idnovel,tr_word1,tr_word2,tr_word3,tr_word4,tr_word5,ch_word1,ch_word2,ch_word3,ch_word4,ch_word5,st_word1,st_word2,st_word3,st_word4,st_word5,md_word1,md_word2,md_word3,md_word4,md_word5
601,네이버 시리즈 ,개연 ,소재 ,작품 ,주인공 ,변하다,좋다,빠르다,시원하다,간결하다,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
602,드 큐 ,미나 ,때 ,티 조 ,차지 비율 ,작다,실패하다,대단하다,성공하다,훈훈하다,NULL,NULL,NULL,NULL,NULL,깊다,불길하다,어둡다,빵터지다,나쁘다
603,NULL,NULL,NULL,NULL,NULL,새롭다,인하다,좋아하다,특별하다,아니다,새롭다,아니다,인하다,있다,특별하다,NULL,NULL,NULL,NULL,NULL
604,이신 후 ,바라크 엘 ,난이도 사냥 ,산 왕 ,피아 스톤 ,아니다,빠르다,같다,수월하다,몰두하다,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
605,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
606,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
607,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
608,게임 속 ,주인공 ,후 키워드 ,함장 ,전함 ,가볍다,어떻다,비슷하다,있다,성공하다,가볍다,비슷하다,어떻다,아쉽다,있다,NULL,NULL,NULL,NULL,NULL
609,이성진 ,삼정 전자 ,엘조 이 ,이번 일 ,동부 혁명군 ,기쁘다,좋아하다,있다,싫다,아니다,같다,재미있다,아니다,안녕하다,새롭다,NULL,NULL,NULL,NULL,NULL
610,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
611,그림 속 ,감정 물 ,미술품 감정사 ,선우 ,인물 ,있다,미치다,좋아하다,없다,어떻다,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
612,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
613,이 닐 ,서브 이벤트 , 앨범 ,방계 몬스터 ,빙고 미션 ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
