,title,author,genre,publisher,age,total,pub_date,complete,img_src,intro,joara
39,엔지니어 강두팔,SL5,판타지,미제공,미제공,96,20/06/16,미완결,http://cf.joara.com/literature_file/20200529_1405387996.jpg_thumb.png,"
이번엔 엔지니어다!
타고난 능력으로 모든 걸 다 고쳐내는 엔지니어 강두팔.

「천재 엔지니어의 능력을 각성합니다.」
「스킬: 관찰Lv.1이 활성화됩니다.」

천재 엔지니어 강두팔, 보다 높은 곳으로 성장하라!",http://www.joara.com/premium_new/book_intro.html?book_code=1457626
40,대표님의 향기로운 덕질생활,자의,판타지,미제공,미제공,219,20/03/17,미완결,http://cf.joara.com/literature_file/20200316_154654.jpg_thumb.png,"
아이돌 찍덕 서준경.
슈퍼클래스 핵재벌로 다시 태어나다.
그런데…… 또 덕질할 거라고?

덕질, 어디까지 해봤니?",http://www.joara.com/premium_new/book_intro.html?book_code=1436158
41,북경의 신룡,운찬,무협,미제공,미제공,227,20/04/10,미완결,http://cf.joara.com/literature_file/20200409_1524138300.jpg_thumb.png,"
황도특처법.
무공을 익힌 자는 황도 북경에 들어설 수 없는 세상.
북경 최강으로 군림하던 왈패 단소룡에게 200년 전 사라진 절대자의 무공이 이어진다.
천부적인 전투 감각에 용맹무쌍한 성격.
의리와 책임감에 목숨까지 거는 북경의 신룡이 무림에 나선다.",http://www.joara.com/premium_new/book_intro.html?book_code=1442838
42,회귀자의 로열라이프,한얼23,판타지,미제공,미제공,205,20/04/14,미완결,http://cf.joara.com/literature_file/20200413_1347175044.jpg_thumb.png,"
미래의 기억인지 회귀인지 알지 못하는 기억들. 그 기억으로 강우는 가족의 행복을 위해 나아간다.
",http://www.joara.com/premium_new/book_intro.html?book_code=1443948
43,초부무적(樵夫無敵),차재현,무협,미제공,미제공,227,20/06/09,미완결,http://cf.joara.com/literature_file/20200608_1520594845.jpg_thumb.png,"
가진 것이라고는 낡은 도끼 한 자루와 고집스러운 성격이 전부였던 장일(長一).

그랬던 그가 나무꾼 노릇을 해온 지 팔십 년 만에 얼떨결에 전설상의 무공(武功) 경지인 반로환동(返老還童)을 이루어 버리고 말았는데...!

“...무림인이라는 족속들은 하나같이 다 약해 빠진 놈들 뿐이로구나!”

정(正)과 사(邪)를 넘나드는 파격적인 그의 행보에 강호무림(江湖武林)은 크게 술렁이기 시작했다!",http://www.joara.com/premium_new/book_intro.html?book_code=1460150
44,재벌위에 초재벌,꿈가득남,판타지,미제공,미제공,133,20/06/17,미완결,http://cf.joara.com/literature_file/20200617_1843534573.jpg_thumb.png,"
1997년 환생한 내게 처음으로 들린 목소리.

[신께서 감동해 당신께 치트키 능력을 부여합니다]

""맙소사.""

믿을 수 없는 현실이지만, 정한은 떨리는 손으로 정면에 생성된 키보드에 타자를 쳤다. 아주 익숙하면서도 친숙한 그것을.

[Show me the money]

새하얀 빛이 폭사하고 화면에 영문이 새겨진다.

[계좌에 100,000원이 입금되었습니다]",http://www.joara.com/premium_new/book_intro.html?book_code=1462466
45,로그인 더 헌터,주작,판타지,미제공,미제공,306,20/03/10,미완결,http://cf.joara.com/literature_file/20200306_152142.jpg_thumb.png,"
던전, 헌터의 성장터는 특권층들의 전유물이 되어버렸고,
더 이상 개천의 용은 허락되지 않는 시대가 찾아왔다.
그 속에서 외로운 도약을 꿈꿔본다.
“로그인!”
나만의 낙원이 문을 열었다.",http://www.joara.com/premium_new/book_intro.html?book_code=1433290
46,조지 부시의 위대한 미국,Cider.cap,판타지,미제공,미제공,319,19/11/07,미완결,http://cf.joara.com/literature_file/20191107_143408.jpg_thumb.png,"
“대통령 각하 미국이 공격당했습니다.”

뭐요?

김갑환, 천조국 미국의 대통령으로 환생하다.",http://www.joara.com/premium_new/book_intro.html?book_code=1406343
47,관상만렙 공무원님,초빛,판타지,미제공,미제공,228,20/05/12,미완결,http://cf.joara.com/literature_file/20200511_1520528239.png_thumb.png,"
남들은 성공한 사람의 관상을 보지만 나는 '성공할' 사람의 관상을 본다.

관상스펙 만렙을 찍은 말단 9급 공무원의 신들린 상괘.
꽉 막힌 님의 인생에 사이다맛 비전과 전율을 드립니다.",http://www.joara.com/premium_new/book_intro.html?book_code=1452850
48,"F급 선수, S급 감독 되다!",강중사,스포츠,미제공,미제공,292,19/04/01,미완결,http://cf.joara.com/literature_file/20190401_163725.jpg_thumb.png,"
평범한 선수였던 강건은 은퇴를 앞둔 순간, 10년 전 선택의 갈림길에 섰던 과거로 회귀했다.
그리고...",http://www.joara.com/premium_new/book_intro.html?book_code=1360643
