title,genre,author,complete,img_src,age,total,pub_date,publisher,intro,href
농사짓는 플레이어,"판타지,  게임","
재즈소울

",완결,//cdn1.munpia.com/files/attach/2019/0127/004/WQkUQx8DHpzs6RAg.png,전체이용가,239 회,2019.01.21 14:00,정보 없음,지친 회사원 '사공진' 가상현실 게임에서 힐링을 찾는다.,https://novel.munpia.com/133087
홈플레이트의 빌런,"스포츠,  현대판타지","
이블라인

",완결,//cdn1.munpia.com/files/attach/2017/1218/000/EojQcuqQuPlDfkAj.jpg,전체이용가,493 회,2017.12.21 18:00,정보 없음,홈을 지키는 악당,https://novel.munpia.com/100495
[개정판] 신의 파편,판타지,미더라,완결,//cdn1.munpia.com/files/attach/2019/0613/003/CATOAwjGFHtSwhGe.jpg,전체이용가,300 회,2019.06.18 10:00,정보 없음,"* 본 도서는 내용 일부를 수정 및 보완하여 재출간하는 개정판입니다.
도서 이용에 참고 부탁드립니다.

어느 날 갑자기 신기한 능력을 갖게 된 남자.
여러 나라 언어를 말하고, 놀라운 무술 실력이 생긴다.

주변 사람들을 돕고 희망을 퍼트릴수록 강해지는 운명을 가진 남자.
2020년 중반. 지금보다 훨씬 더 더럽고 지저분한 세상.
그런 세상을 그가 바꾼다!",https://novel.munpia.com/160086
내 고양이는 S급,판타지,"
수박주스

",완결,//cdn1.munpia.com/files/attach/2019/0220/004/ffJxSd3ymxMdAXzc.jpg,전체이용가,135 회,2019.02.18 15:00,정보 없음,"각성의 시대, 내 고양이는 S급이었다.",https://novel.munpia.com/138547
역대급 디자이너,"현대판타지,  판타지",화야란,완결,//cdn1.munpia.com/files/attach/2020/0401/002/uoG9Kg4cIvKsW3lS.jpg,전체이용가,225 회,2019.06.17 09:00,정보 없음,"누명을 썼다. 그래서 교도소로 끌려갔다.
하지만 그게 오히려 기회가 되었다.
다른 사람의 마음을 읽을 수 있게된 주인공은, 자신의 무죄를 증명하고 역대급 재능으로 세상을 새롭게 디자인 한다.",https://novel.munpia.com/159976
전술의 신,"게임,  판타지",쿠우울,완결,//cdn1.munpia.com/files/attach/2020/0401/001/lqPwFJq38WsOBHTa.jpg,전체이용가,450 회,2019.06.17 09:00,정보 없음,"동부 왕국의 중앙에서 내려온 지휘관이라는 설정의 
혈혈단신으로 시작해서 일군을 다루는 장군이 되어서 세상에 흔적을 남겨라!
현질 안하는 무과금 유저, 노머니의 게임이야기 하지만 그가 시작한 게임은 다른 게임과는 사뭇 달랐다.

바닥부터 시작해서 신이 될 전술가의 이야기.",https://novel.munpia.com/159974
홧김에 시장 되다,현대판타지,"
몽몽객

",완결,//cdn1.munpia.com/files/attach/2018/0917/001/UxOuE3DNhfUIA18m.jpg,전체이용가,279 회,2018.09.14 17:00,정보 없음,"지방 소도시에서 평범 그 자체의 인생을 살던 김도훈.
여유롭지는 못해도 마음에 맞는 친구들과 어울리며 느릿한 삶을 즐기던 그의 인생에 일대변화가 생긴다.

막가파 시장의 막말에 열받은 그가 시장의 낙선과 선거비용 보전을 위한 15% 득표를 목표로, 매우 충동적으로(?) 시장 선거에 뛰어든 것.
가족부터 고개를 설레설레 내저었던 이 패기 넘치는 선택의 결과는...

""... 당선을 축하드립니다!""

알게 모르게 준비되어 있던 남자, 김도훈의 새로운 도전이 시작된다.",https://novel.munpia.com/123138
최초로 업적을 획득한,"퓨전,  게임","
아라만

",완결,//cdn1.munpia.com/files/attach/2018/1114/004/545nVa6gr3gDybZu.jpg,전체이용가,185 회,2018.11.16 10:00,정보 없음,"[업적 달성.]
[‘최초로 업적을 획득한’ 업적을 달성하셨습니다.]",https://novel.munpia.com/128543
쌍룡현신,무협,"
소요신선

",완결,//cdn1.munpia.com/files/attach/2019/0116/004/vWKEFMkzlJVvumLS.jpg,전체이용가,156 회,2019.01.17 09:00,정보 없음,"사나이들의 세계는 경쟁과 승부의 연속이다. 
하지만 그렇게 해서 얻은 최고의 자리는 언제나 외롭고 쓸쓸하다. 이게 어쩔 수 없는 숙명일까. 
어니다. 여기 돈이면 돈, 무공이면 무공, 모든 것을 서로 나누면서 다같이 절대고수로 성장하는, 강호 사나이들의 처절한 복수극이 펼쳐진다.",https://novel.munpia.com/134689
Munchkin,"퓨전,  판타지","
큰불

",완결,//cdn1.munpia.com/files/attach/2019/0612/001/zl9apFHqwhM9ZBYo.jpg,전체이용가,129 회,2017.01.16 12:00,정보 없음,"사백십이 년.
수상한 차원에 홀로 갇혀 있던 끝에 드디어 탈출했다.",https://novel.munpia.com/39063
